id,tags
0nqt0LfiOiVMAcoQ,"blues rock,blues,classic rock,rock,instrumental"
0RtweAx2UHLd5Bwr,"70s,glam rock,classic rock,rock,sweet"
0tGyfM8g4zni2Fpw,"classic rock,rock"
1lp3AkKObSaXUQj2,"fip,future garage,dubstep,indie"
1NqEMzdMVUt7GvP3,"indie,indie rock,alternative,death cab for cutie"
22rb4j2448ogW4fq,"pop,britney spears,female vocalists"
2mOa5wioEC7ThJyY,"ambient,electronic,idm,downtempo,chillout"
3EehSZTQqr6fUNWm,"cloud rap,emo,rap,hip hop,post emo,emotional trap"
3FsnGzrD9FvvUsxm,"soul,joss stone,soul,female vocalists,jazz"
6mpDCmzOfVo4Ad1c,"swamp rock,blues,blues rock,fip,70s,rock"
6mwOzs6NiRLAStB8,"post-punk,shoegaze,ethereal,rock"
8VNONiezek4gzvqq,"post-punk,post-punk,deathrock,australian"
aAEYZcocyuXhpQvi,"chiptune,bitpop,synthwave,synthpop"
ahel3LyBN072Xsyg,"punk rock,rock,punk,green day,alternative,90s"
C7JjG3WEiJPd1YMx,"british,indie,alternative,alternative rock,rock,sail away on the ocean waves"
CNDUwm7I5Yx68nvd,"metalcore,metal,hardcore,screamo,rock,post-hardcore"
d3XJODyFgcy3ZPiY,"trance,electronic,chillout,90s,dance"
dAs88rrxQrn82Hxw,"tropical,tambourine,afrobeat,70s,funk"
DQti7Wb8ru3bErme,"pop,elton john,classic rock,90s,rock"
EipOFmJxrPhfeDdp,"country,female vocalists,folk,singer-songwriter"
F5E33YTAlHeJXeMd,"hard rock,hair metal,80s,rock"
FcX8oBDKh9IPOkF7,"jazz,soul,blues,loneliness after dusk"
fQbm65nkJ2lNTFlI,"metalcore,rock,post-hardcore,hardcore"
fqvEgwapRUre9ldH,"rnb,soul,female vocalists,cool down"
gkQkKDiC5ZHGFBt4,"death metal,metal,old school death metal,i want to have sex with this song"
GLHpznqlcD1XBs9E,rock
hdhhDy1P29HzobOe,"deutschrap,turkish rock,rap,female vocalists,hip hop,turkish"
hgz3dkw5j3psgdfJ,"70s,rock,classic rock,pop,oldies"
hGZfcGY9gbCdbIdI,"mexico,latin,mexican,tejano"
IObi4LSXhEJZL8ri,"alternative rock,rock,indie rock,grunge,00s"
IOUaRRjBVS8dwi8s,"electronic,big beat,dance,techno,electronica"
irAWx7njLUWG2eHn,"classic rock,brian may,rock,queen,guitar,rock,classic rock,hard rock"
j3nlQ8kestuTIl9t,"tropicalia,brasil,mpb,60s"
KHgS7Ym5kkc1IIGJ,"pop,rnb,cover,pop,rnb,female vocalists"
KSxria3rBAQcYBIt,"classic rock,reggae,rock,70s,blues,blues,classic rock,blues rock"
LHYagWA6Waove2hS,"soundtrack,instrumental,classical,composers"
m8TsJOxqVAKuGZvL,"chiptune,soundtrack,video game music,undertale,video game soundtrack"
MIVSmMzw5pgZXoSR,"rock,punk,pop rock"
N35KgpgRd3sYUcXw,"rnb,pop,mariah carey,rb"
nmXGlqePXN4JubnX,"spanish pop,pc music"
NYZLS92syeBKhrNr,"indie rock,rock,indie,pop,00s,alternative rock"
p1VP0vVJmgPUIrqH,"fip,indietronica,indie,electronic,british"
R7q7HEMxDWzyqu5Q,"pop,love,britney spears"
rK5ZdC4afvNd7kLz,"funk,baile funk,funk,baile funk,brazil"
sBc3WEwdmXfiPiu9,"folk,alternative metal,melodic death metal,nu metal,metal"
Sw0ZQeH0uTPGtsoH,"progressive metal,2016,instrumental,math metal,djent"
t5EoCtTxvbxHruxM,"hip hop,electropop,electronic,uk hip hop,experimental hip hop,hino"
TrHWNXvlKVbm9jBs,"post-hardcore,progressive rock"
TtUhb0mucHEbKZ8f,"rap,electronic,trap,hip-hop"
U1nziZv9qUZS3jOZ,"rap,deutschrap,hip hop,german,hip-hop"
UCbm14L6ORpEMt7B,"2017,lo-fi,indie,post-punk,experimental,lo-fi,indie,fip"
UJj71KVEwKdqGsYr,"pop,latin pop,dominican republic,electronica"
vB5ycbCh6rhxd0zZ,"soundtrack,beautiful,sad,pans labyrinth"
Vdkz2WQ7xcqS7l7w,"hip-hop,industrial,rap,hip hop,death grips"
vGrIgQA8nbuWlVYs,"60s,singer-songwriter,schubidu"
VnPE0O14G2OI5jIH,"rock,pop,the script,irish,we cry,pop rock"
Vvleil2VGhGL4Nke,electronic
w3Bg3iP0fgb7fvfT,"alternative,love at first listen,indie,pop,2014,female vocalists"
w6LyHGLw5zOPUppk,"melodic death metal,metalcore,covers,cover"
WknFGL7B9g7s4ZeF,pop
wnnZ5S0ZsAaiAExc,"folk,fip,acoustic,indie folk"
wr21nOj1LERwvzk6,"metalcore,metal,melodic death metal,hardcore"
X4OlWoSBbZA4ro6i,"worship,christian,gospel,brazilian,diante do trono,diante do tronon"
X80tzYn7MVYPX3eM,"pop,k-pop,korean,rnb,ballad,soul"
Xkx0xgFLulIXnmnJ,"black metal,symphonic black metal,gothic metal,metal"
XzCwQF8yeSbmtH4g,"dance,pop,dancemania"
z3nzbxeFT01WOXf8,"death metal,6 of 10 stars"
z6HI4NAVpZggGi1p,"metalcore,deathcore,screamo,metal"
ZBOUo2hoZEvpshgr,"soul,70s,female vocalists,fip"
zI9DjkxOs5x1EhJQ,"fip,alternative,art rock,female vocalists,indie,alternative"
